"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"421450";"Rio do Campo";82;2010
"421460";"Rio do Oeste";68;2010
"421480";"Rio do Sul";846;2010
"421470";"Rio dos Cedros";119;2010
"421490";"Rio Fortuna";60;2010
"421500";"Rio Negrinho";580;2010
"421505";"Rio Rufino";25;2010
"421507";"Riqueza";43;2010
"421510";"Rodeio";101;2010
"421520";"Romelândia";50;2010
"421530";"Salete";85;2010
"421535";"Saltinho";61;2010
"421540";"Salto Veloso";54;2010
"421545";"Sangão";178;2010
"421550";"Santa Cecília";305;2010
"421555";"Santa Helena";18;2010
"421560";"Santa Rosa de Lima";26;2010
"421565";"Santa Rosa do Sul";94;2010
"421567";"Santa Terezinha";94;2010
"421568";"Santa Terezinha do Progresso";28;2010
"421569";"Santiago do Sul";13;2010
"421570";"Santo Amaro da Imperatriz";231;2010
"421580";"São Bento do Sul";1095;2010
"421575";"São Bernardino";25;2010
"421590";"São Bonifácio";21;2010
"421600";"São Carlos";118;2010
"421605";"São Cristovão do Sul";67;2010
"421610";"São Domingos";123;2010
"421620";"São Francisco do Sul";638;2010
"421630";"São João Batista";415;2010
"421635";"São João do Itaperiú";43;2010
"421625";"São João do Oeste";50;2010
"421640";"São João do Sul";64;2010
"421650";"São Joaquim";382;2010
"421660";"São José";2830;2010
"421670";"São José do Cedro";156;2010
"421680";"São José do Cerrito";71;2010
"421690";"São Lourenço do Oeste";336;2010
"421700";"São Ludgero";143;2010
"421710";"São Martinho";35;2010
"421715";"São Miguel da Boa Vista";14;2010
"421720";"São Miguel do Oeste";455;2010
"421725";"São Pedro de Alcântara";29;2010
"421730";"Saudades";97;2010
"421740";"Schroeder";226;2010
"421750";"Seara";216;2010
"421755";"Serra Alta";31;2010
"421760";"Siderópolis";130;2010
"421770";"Sombrio";402;2010
"421775";"Sul Brasil";29;2010
"421780";"Taió";220;2010
"421790";"Tangará";110;2010
"421795";"Tigrinhos";15;2010
"421800";"Tijucas";479;2010
"421810";"Timbé do Sul";56;2010
"421820";"Timbó";418;2010
"421825";"Timbó Grande";121;2010
"421830";"Três Barras";293;2010
"421835";"Treviso";35;2010
"421840";"Treze de Maio";79;2010
"421850";"Treze Tílias";92;2010
"421860";"Trombudo Central";101;2010
"421870";"Tubarão";1172;2010
"421875";"Tunápolis";46;2010
"421880";"Turvo";139;2010
"421885";"União do Oeste";30;2010
"421890";"Urubici";153;2010
"421895";"Urupema";24;2010
"421900";"Urussanga";192;2010
"421910";"Vargeão";51;2010
"421915";"Vargem";30;2010
"421917";"Vargem Bonita";65;2010
"421920";"Vidal Ramos";80;2010
"421930";"Videira";710;2010
"421935";"Vitor Meireles";82;2010
"421940";"Witmarsum";57;2010
"421950";"Xanxerê";598;2010
"421960";"Xavantina";50;2010
"421970";"Xaxim";401;2010
"421985";"Zortéa";42;2010
"420000";"Município ignorado - SC";NA;2010
"420005";"Abdon Batista";32;2011
"420010";"Abelardo Luz";249;2011
"420020";"Agrolândia";129;2011
"420030";"Agronômica";63;2011
"420040";"Água Doce";89;2011
"420050";"Águas de Chapecó";59;2011
"420055";"Águas Frias";36;2011
"420060";"Águas Mornas";63;2011
"420070";"Alfredo Wagner";117;2011
"420075";"Alto Bela Vista";17;2011
"420080";"Anchieta";59;2011
"420090";"Angelina";58;2011
"420100";"Anita Garibaldi";98;2011
"420110";"Anitápolis";31;2011
"420120";"Antônio Carlos";102;2011
"420125";"Apiúna";126;2011
"420127";"Arabutã";39;2011
"420130";"Araquari";441;2011
"420140";"Araranguá";874;2011
"420150";"Armazém";104;2011
"420160";"Arroio Trinta";25;2011
"420165";"Arvoredo";19;2011
"420170";"Ascurra";80;2011
"420180";"Atalanta";39;2011
"420190";"Aurora";67;2011
"420195";"Balneário Arroio do Silva";148;2011
"420205";"Balneário Barra do Sul";105;2011
"420200";"Balneário Camboriú";1314;2011
"420207";"Balneário Gaivota";103;2011
"421280";"Balneário Piçarras";271;2011
"422000";"Balneário Rincão";NA;2011
"420208";"Bandeirante";23;2011
"420209";"Barra Bonita";28;2011
"420210";"Barra Velha";376;2011
"420213";"Bela Vista do Toldo";85;2011
"420215";"Belmonte";26;2011
"420220";"Benedito Novo";123;2011
"420230";"Biguaçu";851;2011
"420240";"Blumenau";4220;2011
"420243";"Bocaina do Sul";41;2011
"420250";"Bom Jardim da Serra";44;2011
"420253";"Bom Jesus";39;2011
"420257";"Bom Jesus do Oeste";25;2011
"420260";"Bom Retiro";119;2011
"420245";"Bombinhas";235;2011
"420270";"Botuverá";54;2011
"420280";"Braço do Norte";451;2011
"420285";"Braço do Trombudo";43;2011
"420287";"Brunópolis";37;2011
"420290";"Brusque";1518;2011
"420300";"Caçador";1175;2011
"420310";"Caibi";65;2011
"420315";"Calmon";52;2011
"420320";"Camboriú";978;2011
"420330";"Campo Alegre";158;2011
"420340";"Campo Belo do Sul";92;2011
"420350";"Campo Erê";123;2011
"420360";"Campos Novos";489;2011
"420370";"Canelinha";124;2011
"420380";"Canoinhas";815;2011
"420325";"Capão Alto";31;2011
"420390";"Capinzal";284;2011
"420395";"Capivari de Baixo";327;2011
"420400";"Catanduvas";152;2011
"420410";"Caxambu do Sul";42;2011
"420415";"Celso Ramos";42;2011
"420417";"Cerro Negro";40;2011
"420419";"Chapadão do Lageado";43;2011
"420420";"Chapecó";2843;2011
"420425";"Cocal do Sul";180;2011
"420430";"Concórdia";958;2011
"420435";"Cordilheira Alta";35;2011
"420440";"Coronel Freitas";105;2011
"420445";"Coronel Martins";35;2011
"420455";"Correia Pinto";199;2011
"420450";"Corupá";205;2011
"420460";"Criciúma";2736;2011
"420470";"Cunha Porã";93;2011
"420475";"Cunhataí";10;2011
"420480";"Curitibanos";594;2011
"420490";"Descanso";68;2011
"420500";"Dionísio Cerqueira";234;2011
"420510";"Dona Emma";52;2011
"420515";"Doutor Pedrinho";33;2011
"420517";"Entre Rios";33;2011
"420519";"Ermo";28;2011
"420520";"Erval Velho";42;2011
"420530";"Faxinal dos Guedes";161;2011
"420535";"Flor do Sertão";14;2011
"420540";"Florianópolis";5450;2011
"420543";"Formosa do Sul";25;2011
"420545";"Forquilhinha";325;2011
"420550";"Fraiburgo";552;2011
"420555";"Frei Rogério";35;2011
"420560";"Galvão";50;2011
"420570";"Garopaba";232;2011
"420580";"Garuva";272;2011
"420590";"Gaspar";760;2011
"420600";"Governador Celso Ramos";140;2011
"420610";"Grão Pará";81;2011
"420620";"Gravatal";143;2011
"420630";"Guabiruba";245;2011
"420640";"Guaraciaba";111;2011
"420650";"Guaramirim";584;2011
"420660";"Guarujá do Sul";58;2011
"420665";"Guatambú";59;2011
"420670";"Herval d'Oeste";298;2011
"420675";"Ibiam";23;2011
"420680";"Ibicaré";28;2011
"420690";"Ibirama";260;2011
"420700";"Içara";821;2011
"420710";"Ilhota";146;2011
"420720";"Imaruí";91;2011
"420730";"Imbituba";518;2011
"420740";"Imbuia";72;2011
"420750";"Indaial";810;2011
"420757";"Iomerê";26;2011
"420760";"Ipira";44;2011
"420765";"Iporã do Oeste";91;2011
"420768";"Ipuaçu";147;2011
"420770";"Ipumirim";76;2011
"420775";"Iraceminha";38;2011
"420780";"Irani";107;2011
"420785";"Irati";18;2011
"420790";"Irineópolis";139;2011
"420800";"Itá";74;2011
"420810";"Itaiópolis";330;2011
"420820";"Itajaí";2878;2011
"420830";"Itapema";683;2011
"420840";"Itapiranga";227;2011
"420845";"Itapoá";181;2011
"420850";"Ituporanga";352;2011
"420860";"Jaborá";43;2011
"420870";"Jacinto Machado";114;2011
"420880";"Jaguaruna";189;2011
"420890";"Jaraguá do Sul";2254;2011
"420895";"Jardinópolis";28;2011
"420900";"Joaçaba";386;2011
"420910";"Joinville";7805;2011
"420915";"José Boiteux";92;2011
"420917";"Jupiá";22;2011
"420920";"Lacerdópolis";15;2011
"420930";"Lages";2348;2011
"420940";"Laguna";577;2011
"420945";"Lajeado Grande";10;2011
"420950";"Laurentino";85;2011
